PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition_Primary at 6 uM
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,%Inhibition in the primary screen at 6 micromolar test compound concentration; relative to Rhok2 in the presence of 13 micromolar Y-27632.
RESULT_UNIT,,,,,,,NONE
1,842122,6602571,Inactive,0,,,0
2,842123,6602616,Inactive,0,,,-0.3
3,842124,644371,Inactive,3,,,6.7
4,842125,6603132,Inactive,0,,,1.6
5,842126,2850911,Inactive,1,,,2.5
6,842127,6603374,Inactive,2,,,3.6
7,842128,6603127,Inactive,0,,,0.2
8,842129,644380,Inactive,0,,,0.7
9,842131,6602565,Inactive,1,,,3
10,842132,6603080,Inactive,0,,,0.9
11,842133,644388,Inactive,0,,,0.5
12,842134,644390,Inactive,0,,,-2.6
13,842135,644391,Inactive,0,,,-0.9
14,842136,644392,Inactive,5,,,9.9
15,842137,644393,Inactive,0,,,1
16,842138,644394,Inactive,1,,,3.1
17,842139,644395,Inactive,0,,,1.6
18,842140,644396,Inactive,1,,,2.6
19,842141,644397,Inactive,0,,,-4.1
20,842142,5770444,Inactive,4,,,8.1
21,842143,644399,Inactive,3,,,5.7
22,842144,644400,Inactive,0,,,-1.7
23,842145,644401,Inactive,0,,,-1.4
24,842146,644402,Inactive,2,,,4.2
25,842147,644403,Inactive,3,,,6.4
26,842148,644404,Inactive,0,,,0.6
27,842149,644405,Inactive,3,,,5.2
28,842151,644407,Inactive,0,,,1.5
29,842152,644408,Inactive,3,,,6.1
30,842153,644409,Inactive,3,,,6.6
31,842155,644411,Inactive,0,,,1
32,842156,644412,Inactive,1,,,2.7
33,842160,5767160,Inactive,1,,,2.8
34,842161,644417,Inactive,3,,,5.8
35,842162,644418,Inactive,1,,,2.2
36,842163,644419,Inactive,2,,,4.7
37,842164,644420,Inactive,1,,,2.6
38,842165,644421,Inactive,2,,,3.6
39,842167,644423,Inactive,2,,,4.5
40,842168,644424,Inactive,0,,,-10
41,842169,644425,Inactive,1,,,2.7
42,842170,644426,Inactive,3,,,5.2
43,842172,644428,Inactive,0,,,-0.8
44,842174,644430,Inactive,2,,,3.4
45,842175,54678841,Inactive,4,,,6.9
46,842176,644432,Inactive,0,,,-0.6
47,842177,644433,Inactive,2,,,4.9
48,842179,644435,Inactive,0,,,-1.1
49,842180,644436,Inactive,0,,,-5
50,842181,644437,Inactive,0,,,-3
51,842182,644438,Inactive,2,,,4
52,842183,644439,Inactive,0,,,-0.9
53,842184,644440,Inactive,2,,,3.6
54,842185,644441,Inactive,0,,,0.3
55,842186,644442,Inactive,1,,,1.8
56,842187,644443,Inactive,0,,,-0.8
57,842188,644444,Inactive,0,,,-1.7
58,842189,226199,Inactive,4,,,7
59,842190,644445,Inactive,2,,,4.8
60,842191,644446,Inactive,0,,,0.8
61,842192,644447,Inactive,0,,,-4.8
62,842193,644448,Inactive,2,,,5
63,842194,644449,Inactive,3,,,6.5
64,842195,644450,Inactive,0,,,0.5
65,842196,644451,Inactive,2,,,3.6
66,842197,644452,Inactive,0,,,-0.6
67,842199,644454,Inactive,4,,,7.9
68,842200,644455,Inactive,2,,,4
69,842201,644456,Inactive,0,,,1.6
70,842202,644457,Inactive,2,,,3.4
71,842203,644458,Inactive,1,,,2.5
72,842204,644459,Inactive,2,,,4.8
73,842205,644460,Inactive,5,,,10
74,842206,644461,Inactive,0,,,-5.7
75,842207,54690395,Inactive,1,,,1.8
76,842208,644463,Inactive,0,,,-0.8
77,842209,644464,Inactive,3,,,5.6
78,842211,644466,Inactive,1,,,2.7
79,842212,644467,Inactive,1,,,2.3
80,842213,644468,Inactive,0,,,-3.1
81,842214,644469,Inactive,0,,,-0.3
82,842215,644470,Inactive,2,,,3.9
83,842216,644471,Inactive,1,,,3
84,842218,644473,Inactive,1,,,2.2
85,842219,644474,Inactive,2,,,3.5
86,842220,644475,Inactive,0,,,0.5
87,842221,644476,Inactive,2,,,4.9
88,842222,644477,Inactive,2,,,4.2
89,842223,644478,Inactive,0,,,0.8
90,842225,644480,Inactive,0,,,-0.6
91,842226,644481,Inactive,0,,,-5.3
92,842227,644482,Inactive,1,,,2.8
93,842228,644483,Inactive,0,,,1
94,842229,644484,Inactive,0,,,-2.2
95,842231,644486,Inactive,1,,,1.8
96,842232,644487,Inactive,3,,,6.5
97,842233,6603665,Inactive,0,,,-2.7
98,842234,644490,Inactive,0,,,0.1
99,842235,2840005,Inactive,2,,,4.4
100,842236,644494,Inactive,0,,,-1.1
101,842237,644496,Inactive,0,,,-0.9
102,842238,6602638,Inactive,2,,,4.1
103,842239,644500,Inactive,1,,,2.2
104,842240,644501,Inactive,1,,,2
105,842241,644502,Inactive,1,,,1.7
106,842242,233401,Inactive,0,,,-0.7
107,842243,644503,Inactive,0,,,-10.7
108,842244,644504,Inactive,0,,,-1.6
109,842245,644505,Inactive,1,,,3.3
110,842246,644506,Inactive,0,,,-2.9
111,842247,644507,Inactive,2,,,4.8
112,842248,644508,Inactive,1,,,2
113,842249,644509,Inactive,4,,,7.3
114,842250,644510,Inactive,2,,,3.6
115,842252,644512,Inactive,0,,,0.4
116,842253,644513,Inactive,5,,,8.8
117,842254,644514,Inactive,0,,,-0.7
118,842255,644515,Inactive,1,,,3.1
119,842256,644516,Inactive,1,,,3.3
120,842257,42023,Inactive,3,,,6.5
121,842258,644517,Inactive,3,,,6.2
122,842259,54679534,Inactive,1,,,2.1
123,842260,644519,Inactive,4,,,7.3
124,842261,644520,Inactive,4,,,7.3
125,842262,644521,Inactive,0,,,-2.1
126,842263,644522,Inactive,2,,,4.6
127,842264,644523,Inactive,0,,,1.6
128,842265,644524,Inactive,0,,,-1.9
129,842266,644525,Inactive,0,,,1.4
130,842268,644527,Inactive,0,,,0.4
131,842269,644528,Inactive,0,,,0.3
132,842270,644529,Inactive,2,,,3.4
133,842271,644530,Inactive,2,,,3.7
134,842272,644531,Inactive,0,,,-3.7
135,842273,644532,Inactive,2,,,3.8
136,842275,644534,Inactive,2,,,4.1
137,842276,644535,Inactive,3,,,5.3
138,842277,5295096,Inactive,2,,,3.8
139,842278,644537,Inactive,1,,,2.2
140,842279,644538,Inactive,0,,,-2.7
141,842280,644539,Inactive,1,,,2.7
142,842281,644540,Inactive,1,,,3.2
143,842282,644541,Inactive,0,,,-10.2
144,842284,644543,Inactive,2,,,4.1
145,842285,644544,Inactive,0,,,-4.1
146,842286,644545,Inactive,0,,,-3.1
147,842287,644546,Inactive,1,,,2.4
148,842288,644547,Inactive,0,,,-1.9
149,842289,644548,Inactive,3,,,6.5
150,842290,644549,Inactive,0,,,-0.9
151,842291,644550,Inactive,0,,,-2.5
152,842292,644551,Inactive,2,,,3.7
153,842293,644552,Inactive,1,,,2.5
154,842294,644553,Inactive,0,,,-8.4
155,842295,644554,Inactive,2,,,3.8
156,842297,644556,Inactive,3,,,5.9
157,842298,644557,Inactive,3,,,6.6
158,842299,644558,Inactive,0,,,-0.8
159,842300,644559,Inactive,0,,,-6.6
160,842301,644560,Inactive,0,,,0.7
161,842302,644561,Inactive,5,,,8.5
162,842304,644563,Inactive,0,,,1.3
163,842305,644564,Inactive,0,,,1
164,842306,644565,Inactive,3,,,5.7
165,842307,644566,Inactive,6,,,11.5
166,842309,644568,Inactive,0,,,-4
167,842310,644569,Inactive,3,,,5.5
168,842311,644570,Inactive,2,,,4.9
169,842312,644571,Inactive,5,,,9.3
170,842313,644572,Inactive,2,,,3.7
171,842314,644573,Inactive,2,,,4.7
172,842315,644574,Inactive,1,,,2
173,842316,644575,Inactive,1,,,3
174,842317,5409720,Inactive,0,,,-0.1
175,842318,644577,Inactive,0,,,-5.7
176,842319,1960010,Inactive,0,,,-2.5
177,842321,644580,Inactive,2,,,4
178,842322,644581,Inactive,1,,,2.3
179,842323,644582,Inactive,0,,,-3.5
180,842324,644583,Inactive,0,,,1.1
181,842326,644585,Inactive,0,,,-2
182,842327,644586,Inactive,1,,,1.7
183,842328,644587,Inactive,1,,,2.2
184,842329,644588,Inactive,5,,,8.8
185,842330,644589,Inactive,2,,,4.6
186,842331,644590,Inactive,1,,,2.8
187,842332,644591,Inactive,0,,,-6.6
188,842333,644592,Inactive,2,,,4.3
189,842335,563007,Inactive,0,,,1.6
190,842336,644594,Inactive,1,,,3.3
191,842337,644595,Inactive,3,,,5.5
192,842338,644596,Inactive,1,,,2
193,842339,644597,Inactive,0,,,-1
194,842340,644598,Inactive,2,,,4.9
195,842341,644599,Inactive,0,,,-2.7
196,842342,644600,Inactive,4,,,7.2
197,842344,644602,Inactive,0,,,-14.2
198,842345,644603,Inactive,3,,,6.6
